nom_normal,nom_munici,x,y
Calle Pintor,Coria del Río,-6.0579930002765,37.2961830004454
Calle Huelva,Coripe,-5.43888499999991,36.978503
Calle José Manuel Carrión Carrión,Dos Hermanas,-5.93795658307159,37.3076464771436
Calle Raúl Gil Sánchez,Dos Hermanas,-5.9222309999925,37.307448136849
Calle Concordia,Coripe,-5.43935928399992,36.9747221590001
Calle las Onzas,Coripe,-5.44113460399996,36.971630502
Calle Carmen Calvo Poyato,Dos Hermanas,-5.92512209171732,37.315374749181
Calle Rienda,Morón de la Frontera,-5.45447700031314,37.1327399995515
Calle Peineta,Morón de la Frontera,-5.46150794162667,37.1203433345365
Calle José Miguel Naranjo Jiménez,Dos Hermanas,-5.9411410949140375,37.305450571894674
Calle Clara Eugenia Aguilera García,Dos Hermanas,-5.92178150115982,37.3223543464186
Calle Braulio Fernández Tejerina,Dos Hermanas,-5.93336611633759,37.3175984392045
Calle C (Urb Pagos de Buenavista),Dos Hermanas,-5.95350163447983,37.3077636659974
Glorieta de Camas,Camas,-6.035562999999911,37.41027400000007
Calle Jaén,Coripe,-5.43825763799993,36.9781739410001
Calle Grande,Algámitas,-5.15000099999992,37.0134860000001
Calle Badajoz,Las Navas de la Concepción,-5.46724799999993,37.9356770000001
Calle Nobel,Mairena del Aljarafe,-6.052058999712245,37.35774700020318
Calle Lonja,Mairena del Aljarafe,-6.052592000528028,37.35581100050567
Carretera Sanlúcar Olivares,Sanlúcar La Mayor,-6.177655000277886,37.405761000370006
Calle Primer Teniente Alcalde José Garrido,Gelves,-6.02626132715326,37.3330450668666
Calle Carrion de los Condes,Carrión de los Céspedes,-6.3294025377383925,37.3729347066549
Calle Uno de Mayo,Pedrera,-4.898289000448,37.2234570003498
Calle Santiago Montoto,Utrera,-5.78346400032486,37.18297100041166
Calle Constelación Lince,Utrera,-5.778204000514551,37.19286799998413
Plaza Corredera,Arahal,-5.54509299981919,37.2625000002524
Calle Isaac Albéniz,Camas,-6.04188299999993,37.4022110000001
Calle Amapola,Camas,-6.02866999999992,37.398625
Pol. Ind. Autovía Nacional IV,Dos Hermanas,-5.93404795253377,37.2771062170294
Avenida 4 de Diciembre,Dos Hermanas,-5.92909100053266,37.270573999953
Avenida Antonio Machado,Alcalá del Río,-5.98270099999991,37.514846
Calle Sanlúcar la Mayor,Alcalá de Guadaíra,-5.8423176193738,37.34752153629
Calle Santo Domingo de Guzmán,Camas,-6.03138699999994,37.385563
Calle Francisco Calatrava Jurado,Alcalá de Guadaíra,-5.8408450005254,37.347225999879
Calle Alegría,Alcalá de Guadaíra,-5.84071821167052,37.3310619600936
Calle Teodosio,Camas,-6.03771899999992,37.41812
Calle Hornero,Alcalá de Guadaíra,-5.83785200021216,37.3300580002546
Calle Poeta Muñoz San Roman,Camas,-6.03372699999994,37.3949440000001
