nom_normal,nom_munici,x,y
Calle de las Tradiciones,Chiclana de la Frontera,-6.12620099999992,36.4059720000001
Calle Nueva,Benalup-Casas Viejas,-5.81422399999991,36.343127
Plaza Santa Ana,Cádiz,-6.27592115946494,36.5143980496837
Avenida Andalucía,Algodonales,-5.39518399994149,36.8827329997283
Plaza la Constitución,El Gastor,-5.3234870004429,36.8551680005772
Polígono Industrial El Arenal,Algodonales,-5.4218691531299,36.873148197688
Calle Alcalá de los Gazules,Cádiz,-6.26245299931692,36.4935459996233
Avenida de las Escuelas,Puerto Serrano,-5.54293582099996,36.916840875
Calle las Viñas,Espera,-5.80197900043038,36.8741080003841
Calle Alexander Henderson,Algeciras,-5.44666673515557,36.124700318288
Cañada del Fontanar,Chiclana de la Frontera,-6.10557499999993,36.432642
Calle Fray Bartolomé,Algeciras,-5.45357899999993,36.138292
Calle Doctor Fleming,Algeciras,-5.4469537680872,36.124141935459
Calle Castillo,Conil de la Frontera,-6.09001300018446,36.2748439993952
Calle Sucre,Chiclana de la Frontera,-6.140656744999944,36.417142511000065
Camino Molino de Marea,Chiclana de la Frontera,-6.17604894699991,36.4253632630001
Calle Puerto Real,Arcos de la Frontera,-5.80901673323544,36.7552149432152
Carril Arroyo Olvera,Conil de la Frontera,-6.07171399979246,36.2943329997004
Carril Camino de los Militares,Conil de la Frontera,-6.08933549453859,36.291823478596
Carretera A-389 de Arcos de la Frontera a Medina Sidonia,Jerez de la Frontera,-5.856797184707759,36.577555623933996
Glorieta de la Tolerancia,Sanlúcar de Barrameda,-6.35359117169495,36.7880873574458
Calle Reyes Católicos,Espera,-5.80946800044768,36.8713940002331
Calle Enriquez,Rota,-6.36362124661289,36.6380743013556
Calle Palo,San Fernando,-6.2148178355527035,36.45007567138575
Carretera A-384R1 De la A-384 a la CA-9107,Alcalá del Valle,-5.134817442012,36.946737837109
Calle Senado,Benalup-Casas Viejas,-5.8139717481616,36.344071165299
Calle Libertad,Benalup-Casas Viejas,-5.81305726,36.34360824
Paseo Marítimo (Valdelagrana),El Puerto de Santa María,-6.22483497551367,36.574897548874
Carretera la Florida,Conil de la Frontera,-6.07825631651762,36.3176795419696
Calle Maestro Juan Caro,Arcos de la Frontera,-5.80688820711408,36.7499753695502
Calle Hortales,Prado del Rey,-5.561473999925022,36.78556900030925
Avenida del Cantabrico,Chiclana de la Frontera,-6.18457501399996,36.3774913670001
Plaza de los Mayores,Sanlúcar de Barrameda,-6.35380561692991,36.7706783868276
Calle Fernando de Rojas,Paterna de Rivera,-5.8627319997817935,36.52059700015158
