nom_normal,nom_munici,x,y
Calle Encina,Cañaveral de León,-6.5245202995345,38.013378888212
Calle el Algarbe,Hinojos,-6.38240899967538,37.2890529998962
Avenida Villarrasa,Rociana del Condado,-6.60030599999993,37.3129420000001
Ronda Norte,Villarrasa,-6.60375899997773,37.3895379995792
Calle los Morcelos,San Bartolomé de la Torre,-7.10530999999992,37.4437500000001
Calle Arroyito,Ayamonte,-7.3420710001697085,37.185196999904505
Avenida de los Cisnes,Ayamonte,-7.35538348918338,37.179927246836
Calle Machado,Cartaya,-7.06043599999992,37.213826
Calle Bilbao,Valverde del Camino,-6.760225000607426,37.57558500013159
Calle María Auxiliadora,Valverde del Camino,-6.75373700045065,37.572073999594
Calle León,Valverde del Camino,-6.76060900066361,37.5761190003932
Paraje Sierra Tinajero,Calañas,-6.9175067283869,37.616272944504
Plaza Elio Antonio de Nebrija,Huelva,-6.92615595445198,37.2617859631056
Calle Teleras,Minas de Riotinto,-6.59116900034905,37.693500000025
Calle Luis Braille,Ayamonte,-7.40909237820172,37.2121922871853
Barriada Santa Ana,Nerva,-6.54273099973423,37.6945010004583
Parque Alonso Sánchez,Huelva,-6.94636279519966,37.2574898743038
Avenida del Decano del Fútbol Español,Huelva,-6.9562562297011,37.247880533611
Calle Peñas,Puebla de Guzmán,-7.24844499999995,37.6115910000001
Avenida Playas de Cartaya (Nuevo Portil),Cartaya,-7.05757875099994,37.2115665970001
Polígono San Jorge E,Palos de la Frontera,-6.87834199997752,37.2225720001797
Plaza la Nava,Huelva,-6.9317810001646,37.2564329995671
Calle Colón,Alosno,-7.12090699999993,37.601029
Travesía Jacinto Benavente,Calañas,-6.8803996607899,37.652358683055
Calle Sierra de Huelva,Cortegana,-6.82102099999992,37.9098870000001
Plaza de los Capellanes,Huelva,-6.94475446927745,37.2782713086881
Plaza del Niño Miguel,Huelva,-6.93679956089846,37.2792132901856
Calle Ollero,Encinasola,-6.86513306443916,38.1322853398967
Calle Colón,Encinasola,-6.87435300039049,38.1371420000035
Calle Toledo,Valverde del Camino,-6.76252575899941,37.5743069637547
Vereda de los Cerreños,Alájar,-6.673648999955276,37.83867399984821
Camino de Labradillos,Beas,-6.78808000010595,37.4735809999338
Carretera HU-4402 Villanueva de los Castillejos a Sanlucar de Guadiana,El Granado,-7.34224699999993,37.504237
Carretera A-499 de Ayamonte a Puebla de Guzmán,El Almendro,-7.25579499999992,37.5259240000001
Calle Niebla,San Juan del Puerto,-6.83271599399995,37.316154495
"Calle Dolores Ibárruri ""La Pasionaria""",Huelva,-6.9240850002911,37.2615020003392
Callejón de los Cántaros,La Palma del Condado,-6.551686401999916,37.38602907700016
Avenida de la Unión Europea,Huelva,-6.95036600024725,37.2725400003354
Calle Fernando Múgica Herzog,Lepe,-7.203230324262815,37.26806176002635
Calle Nazaret,Aljaraque,-6.994653522975745,37.269206270421115
Calle Puerto de la Cruz,Puebla de Guzmán,-7.24518299999994,37.6153410000001
Calle Ocho de Abril,Aljaraque,-7.0259053305329,37.273893483262
Conjunto Herrerías Sardón Diseminado,Puebla de Guzmán,-7.2931277110661,37.608954876655
Transversal Castillo Iglesia,Cumbres Mayores,-6.64657699962871,38.0654909999099
Calle Baleares,Huelva,-6.93856300043405,37.2686060000163
Calle Miguel Hernández,Cumbres Mayores,-6.64525958070744,38.0588503321828
Avenida de la Canaliega,Almonte,-6.48964699970867,37.132138999966216
Calle Juan de Robles,San Juan del Puerto,-6.84348699999993,37.3136140000001
Calle Romeral,Bollullos Par del Condado,-6.54396599993076,37.3333209998644
Calle Cicerón,Nerva,-6.5536251523418,37.6970234814578
Calle Alcatraz,Lepe,-7.22526000052784,37.2079049998898
Calle Jesús Chaparro,Minas de Riotinto,-6.59032900028308,37.6923490000064
Calle Miguel de Unamuno,Nerva,-6.54238273967542,37.6919386211411
Calle Sagasta,Nerva,-6.5538660000944,37.6949750000166
Calle Frias,San Silvestre de Guzmán,-7.35031099999992,37.386848
Barriada Doñana,Rociana del Condado,-6.59022182314478,37.3109819832401
Camino la Molinilla,Linares de la Sierra,-6.59641600039797,37.8706439996211
Carretera Talleres,Alosno,-7.11178499999994,37.600712
Camino de los Espinos,Bonares,-6.69515900035764,37.3004919999929
Camino de los Guijos,Alosno,-7.102258999999947,37.533220000000085
Calle Martínez Ituño,Palos de la Frontera,-6.89183397858736,37.2281970336912
Calle Sanabria,Hinojos,-6.38423700033716,37.2869249997891
Calle Cuesta Palero,Galaroza,-6.70372661499994,37.9253151030001
Camino del Acerado,Villalba del Alcor,-6.44246000047237,37.3659619995348
Plaza José Morales Gallego,San Juan del Puerto,-6.8477518632483,37.3146859388199
Carretera HU-4104 Bollullos Par del Condado a Rociana del Condado,Rociana del Condado,-6.57823503199995,37.3099849860001
Calle Sierra Buyones,Aljaraque,-6.9911265237327,37.2787061207528
Calle Presbítero Inocencio Fernández,Higuera de la Sierra,-6.44812969572871,37.834282939806
Calle Concha Suárez,Almonte,-6.50934300009631,37.2632610003832
Calle Jara,Aljaraque,-7.02977599499292,37.2635305847237
Calle Bilbao,Valdelarco,-6.68422199994518,37.9492789998261
Calle Almonte,Hinojos,-6.38104399968066,37.289860000239
Calle Atún,Ayamonte,-7.31365900005764,37.2285129997375
Calle Escacena,Manzanilla,-6.42507749643411,37.390641291004
Calle Arenal,Bonares,-6.68531400053074,37.3203600004668
Urbanización Luz de Nuevo Portil,Cartaya,-7.0599210964304,37.216561300991
