nom_normal,nom_munici,x,y
Calle Escuelas,Albuñán,-3.13444414712237,37.2281921532966
Calle Huerta Beltrán,Fuente Vaqueros,-3.78318900037194,37.2204950003442
Calle Profesor Tierno Galván,Fuente Vaqueros,-3.78101299984995,37.2212110000878
Calle Hermanas Quiros,Güéjar Sierra,-3.43901999999991,37.158619
Calle las Viñas,Purullena,-3.18891221962312,37.314230958592
Calle Fuente Alta,Fuente Vaqueros,-3.78169870161826,37.2192161247761
Calle Selva Florida,Vegas del Genil,-3.66620999999133,37.1720900002535
Calle la Huerta,Montillana,-3.6729649999999197,37.50123000000008
Camino Potrillas de los Uanos,Alhama de Granada,-3.95911300036453,37.0352280002722
Plaza Constitución,Huétor de Santillán,-3.51739595851893,37.2186137128876
Calle Caminillo,Fuente Vaqueros,-3.78836799998306,37.2170010001961
Calle Herrería,Jérez del Marquesado,-3.16096999999991,37.1830380000001
Plaza de la Iglesia,Polícar,-3.2332200283859,37.257540388946
Calle Carmen,Ferreira,-3.03568269024542,37.1724332155125
Carretera A-335 de Alcalá la Real a Moraleda de Zafayona,Moraleda de Zafayona,-3.9461579999999117,37.19903300000004
Calle Horno,Fuente Vaqueros,-3.78356699981702,37.2194889998177
Calle Iglesia,Fuente Vaqueros,-3.7844360003210173,37.22008100013825
Camino de los Llanos,Alhama de Granada,-3.9714429996945144,37.13270199959776
Calle Nemesio Terriente,Fuente Vaqueros,-3.78426499962981,37.2180500000077
Calle Eduardo Rodríguez Valdivieso,Fuente Vaqueros,-3.7735219997403977,37.21471399995131
Calle Era Alta,Fuente Vaqueros,-3.777203000418,37.2182179996612
Camino Nuevo de Lana a los Llanos,Alhama de Granada,-3.963162000026128,36.94681199957429
Carretera GR-3417 de Maracena a Santa Fe por Albolote y Atarfe,Albolote,-3.67202255129957,37.2257507229177
Calle Agua,Castilléjar,-2.64204500007651,37.7147159999436
Calle Genil,Churriana de la Vega,-3.64047400027466,37.1478830000007
Calle Eras Bajas,Güéjar Sierra,-3.43981799999995,37.160332
Calle Hondillo,Lanjarón,-3.4794249996165,36.9186179999283
Calle Feche,Lecrín,-3.55032199999994,36.9500780000001
Calle Virgen Remedios,Montefrío,-4.00504599977295,37.3231389997652
Calle Real de Tózar,Moclín,-3.7757348159982,37.368368548403
Calle San José de Tózar,Moclín,-3.77762800048946,37.3695150003548
Calle Cerezo,Monachil,-3.55655600015911,37.1351669999573
Calle Real de Bayacas,Órgiva,-3.41551099973275,36.9190079998195
Calle Concepción,El Valle,-3.58068300032006,36.9294920003557
Calle Gloria,Ugíjar,-3.054095000084,36.9654759996179
Avenida Oceano Atlantico,Albolote,-3.64318630880094,37.2545389641021
Urbanización Villa Turistica de Bubión,Bubión,-3.35467520344915,36.9499401583838
Calle Virgen de la Piedad,Baza,-2.76891675749886,37.4866941623506
Barrio Santa Adela,Iznalloz,-3.52763099997046,37.3890139996965
Plaza la Constitución,Maracena,-3.6346983817184,37.207352568756
Plaza Andalucía,Monachil,-3.39989800009246,37.0934489997717
Calle Pintor Fernando Belda,Granada,-3.630728999086476,37.18796899914477
Vía de Padules,Güéjar Sierra,-3.381550999999945,37.19857300000007
Avenida Innovación,Granada,-3.60586899946836,37.1512980002183
Calle Isla de la Gomera,Granada,-3.62407022882901,37.2034460598323
Calle Santiago de la Espada,Granada,-3.61863599908846,37.2080740004382
Calle Trucha,Granada,-3.61928799968136,37.1885599998132
Calle Paquito Rodríguez,Granada,-3.61879724051927,37.190111666978
Calle Espliego,Granada,-3.61996699998309,37.1894589995666
Camino de la Cañada Esparragona,Motril,-3.4810759522403,36.722722646526
Plaza San Antonio,Nívar,-3.5796708,37.25874272
Calle Adriano,Loja,-4.14085230182861,37.1632800104983
Calle Camino de los Pinos,Láchar,-3.86041199987242,37.1783979996876
Calle Moraleda,Huétor Vega,-3.57529957131796,37.1486352756976
Calle Real de Ventas,Alhama de Granada,-4.12144000015568,36.9571260003648
Calle Camino de la Estación,Güéjar Sierra,-3.44224618704626,37.1584130574766
Calle Granada,Alhama de Granada,-3.99011600015311,37.0063600000141
Camino Santa María,Alhama de Granada,-3.9841768886978,37.003117464147
Antigua Carretera GR-3401 de A-92 a Estación de Íllora,Fuente Vaqueros,-3.77191300018467,37.2093829996259
Calle San Isidoro,Granada,-3.60980090498283,37.1765736781238
