nom_normal,nom_munici,x,y
Calle Rafael de la Hoz Arderius,Córdoba,-4.78770300022604,37.8903719996557
Calle Policía Local M. Ángeles García,Córdoba,-4.80104100012344,37.8950160001584
Camino de Duernas,Córdoba,-4.6040077757687,37.707082847167
Calle del Islam,Córdoba,-4.7930540003193975,37.88869599959443
Calle Isla Gomera,Córdoba,-4.80347065336091,37.8883556358947
Calle Fernando Colón,Córdoba,-4.776033000497262,37.88365999961876
Calle Venerable Juan de Santiago,Córdoba,-4.766288000419345,37.8796469996837
Calle Cobo de Guzmán,Córdoba,-4.77553399955976,37.8968939999522
Calle Gitanos,Córdoba,-4.77538700046019,37.8762580004241
Calle Pianista Rafael Orozco,Córdoba,-4.7889574781864,37.895602740151
Carretera N-IV de Andalucía,Bujalance,-4.469543749244799,37.94545211201149
Avenida del Olivo,Los Blázquez,-5.436581999772852,38.40590200036292
Calle Fátima,Hornachuelos,-5.253756999894074,37.75513200032745
Calle Fuente Señora Emilia,Iznájar,-4.299407041234074,37.25590113156074
Calle San Antonio,Lucena,-4.588022000198721,37.42179000043776
Paraje la Salud,Montilla,-4.678265000001231,37.6103919999859
Calle de la Alcoholera,Moriles,-4.605576999329169,37.43975799940256
Calle Corralillo,Obejo,-4.800914436293836,38.13406183338277
Camino de las Cobatillas,Valenzuela,-4.254071000176224,37.759372999850136
Vía El Rincóncillo,La Victoria,-4.8808710000992725,37.668519000037776
Calle Gloria Fuertes,Aguilar de la Frontera,-4.653097050689315,37.50920401503928
Camino de la Rava,Belalcázar,-5.0335819998139035,38.50590999963279
Camino del Cerro de las Conejeras,Aguilar de la Frontera,-4.702248024927612,37.44677900783103
Calle la Escala,Almedinilla,-4.096166000160336,37.439462999603805
Calle Montilla,Almodóvar del Río,-5.0190328764062375,37.81227319049641
Camino de Chorrillo,Añora,-4.919748966444738,38.41801752397559
"Calle Francisco León ""El Parro""",Baena,-4.234302999583447,37.67141200034964
Calle Magistrado Alarcon,Baena,-4.328513000374568,37.61608600035469
Calle Velázquez,Belalcázar,-5.170965999587906,38.57762800011809
Calle Perchel,Belmez,-5.291858999702469,38.247333000303676
Calle Parras,Córdoba,-4.77291999946483,37.8880649997573
Calle Fuentes,Los Blázquez,-5.438988049915958,38.40789918885601
Calle Rafael Alberti,Los Blázquez,-5.4382460000662824,38.40565799990263
Camino de las Siete Revueltas,Benamejí,-4.567794000193491,37.281654999564545
Calle Travesía,Los Blázquez,-5.441323536748351,38.40705982665202
Calle Córdoba,Los Blázquez,-5.438025841364712,38.40621874076524
Calle Córdoba,El Guijo,-4.782223667076861,38.4953969021375
Calle los Tejares I,Bujalance,-4.378114999907904,37.891911000094815
Calle S,Cañete de las Torres,-4.314270999577822,37.86734100021107
Calle Z,Cañete de las Torres,-4.313644999918366,37.867567999914264
Calle Pacífico,Córdoba,-4.84891645671429,37.836520282363
Calle la Solidaridad,La Carlota,-4.937020000276089,37.6729510002744
Calle las Acacias,La Carlota,-4.948919000414951,37.69718700006592
