nom_normal,nom_munici,x,y
Calle Proyecto XII,Baeza,-3.464864000709114,38.00088599987274
Camino Tejar los Gatos,Baeza,-3.4729326731590278,37.99033182133645
Plaza de San Francisco,Baeza,-3.46950200050344,37.9940689993973
Calle Olivo,Bailén,-3.7832620001410424,38.090711000112705
Calle Castillo (Charilla),Alcalá La Real,-3.9074732454576,37.4973698347617
Calle el Oro,Bailén,-3.7728989997888,38.0952899999337
Calle Ramírez Duro,Cárcheles,-3.6403085061282,37.634633226663
Plazuela Carmen,Alcaudete,-4.0856768779676,37.590583799486
Calle Pilar,Cárcheles,-3.6410504699942,37.634970082965
Calle Jesús,Cárcheles,-3.6400109090801,37.634902148136
Calle Hiedra,Castellar,-3.12848604379567,38.2564600443957
Avenida San Sebastián,Linares,-3.63526015103493,38.0991076867704
Carretera JV-2237,Alcalá La Real,-4.00919000021818,37.4785689998597
Calle Verdial,Fuerte del Rey,-3.881448999999918,37.87443500000006
Carretera A-322,Cazorla,-3.02738778561763,37.9053141127563
Calle Ramona Serrano,Puente de Génave,-2.80403899999993,38.353326
Calle San Isidro,Puente de Génave,-2.80282499999993,38.3543740000001
Calle Iglesia,Cambil,-3.53598861499995,37.6268842890001
Poblado del Santuario Virgen de la Cabeza,Andújar,-4.04006474589114,38.1784258245923
Camino de la Cuesta del Portillo,Arjona,-4.06015500018615,37.9300310002105
Calle Pilar Redondo,Torreperogil,-3.2892949777505,38.031714848861
Carretera Hornos,Segura de la Sierra,-2.7286788447161,38.242200804847
Camino Viejo Fuensanta,Alcaudete,-4.08020200022435,37.5868930003042
Calle Orilla,Alcaudete,-4.08538800029884,37.5918439995727
Calle Andalucía,Beas de Segura,-2.834745000281401,38.257440999702595
Calle Fernando,Alcalá La Real,-4.05767200026238,37.5053890001024
Parque de Valparaiso,Beas de Segura,-2.88471499969731,38.2496170004244
Avenida Profacio,Beas de Segura,-2.89332329683252,38.2553246799901
Calle Juan de Dios Yeste Aibar,Chiclana de Segura,-3.04482099999996,38.3093580000001
Calle Tomillo,La Puerta de Segura,-2.7819421901692,38.402034149351
Avenida Manuel Ardoy Medina,Beas de Segura,-2.8989929998269,38.2550770004034
Calle Virgen de la Paz,Beas de Segura,-2.8953092675964,38.253379022483
Calle Travesia,Peal de Becerro,-3.1260309997472224,37.915427999796854
Avenida Nuestro Padre Jesús del Rescate,Baeza,-3.47685698413759,37.9957257370701
Senda de Bacayos,Beas de Segura,-2.94096900021901,38.2606920003357
Avenida Rafael Alberti,Huelma,-3.45199499956941,37.6470130002499
Calle Marie Curie,Huelma,-3.45147118777339,37.6441150056147
Plaza General Samaniego,Baeza,-3.4673739999636455,37.9945670000685
Carretera JV-2050 de interés agrario,Marmolejo,-4.14224218063185,38.0122500582938
Carretera JV-2050 de interés agrario,Arjona,-4.172306999409206,37.977930000408605
Carretera A-6106 de A-301 a A-4 en la Carolina,La Carolina,-3.59707199964424,38.2659470000415
Carretera Madrid-Cádiz,La Carolina,-3.6074719995185,38.2746550006567
Camino Trocha de Arjonilla,Andújar,-4.0691535289867,38.022623221168
Calle Alcalde Luis Villarejo Cano,Bailén,-3.779419065507,38.089651464998
Carretera JV-6035,La Carolina,-3.59828130464174,38.2521501830819
Calle Ecija,Andújar,-4.102709462428153,38.052955130728456
Carretera A-306 de el Carpio a Torredonjimeno,Porcuna,-4.17438599999991,37.8765930000001
Calle Juan Sebastián Elcano,Andújar,-4.05092479794096,38.0482834294368
Camino de la Atalaya,Vilches,-3.51579399999288,38.188179000061
Calle el Aladrero,Baeza,-3.45771606335571,38.0019463734438
Calle Remedios,Canena,-3.48252199989017,38.0494969997869
Camino de Avileses,Puente de Génave,-2.80854299999993,38.3604310000001
Parque Pablo Iglesias,Lahiguera,-3.99247703776,37.973624617393
Calle Jardines de Campolivo,La Guardia de Jaén,-3.69580263404161,37.7657417567908
Calle Vereon,Chiclana de Segura,-3.00569799999994,38.2767630000001
Calle Toledillo,Iznatoraf,-3.03144594757222,38.1574180653916
Calle Gloria,Santisteban del Puerto,-3.2060029996386317,38.24710000036491
Carretera Bailén-Motril,La Guardia de Jaén,-3.6838490004308833,37.7327079995747
Carretera JA-3202 Acceso Sur a la Guardia,La Guardia de Jaén,-3.68921100038719,37.7401389996153
Calle Cuatro Esquinas,Iznatoraf,-3.03157523,38.15717178
Camino la Quintería,Andújar,-3.9546407128918,38.022425569652
Camino Alamedilla,Andújar,-4.00957569733334,38.0364201478729
Calle Pintor Zabaleta,Martos,-3.9689047510606,37.718893601008
Calle Granada (Monte Lope-Álvarez),Martos,-4.11409416231558,37.7028666648649
Calle el Carmen (Puente del Obispo),Baeza,-3.5399850002608266,37.95107300006199
Avenida Moris Marrodán,Martos,-3.97094042539312,37.7174931269656
Calle Carrera,Martos,-3.96970899977038,37.721526000125
Camino del Arenal,Santisteban del Puerto,-3.195288000141,38.2590059999272
Paseo Antonio Machado,Baeza,-3.4731041078014,37.989085213815
Camino de las Capellanías,Andújar,-4.01510099671346,38.1081454119814
Calle Antonio Moreno,Baeza,-3.46284199995123,37.9926449993079
Carril de los Almendros,Alcalá La Real,-3.914282999660509,37.411005000280696
Carretera Mancha Real a Jimena,Torres,-3.51184400040016,37.7860980002227
Calle San Fernando,Villacarrillo,-3.08584530501668,38.1143814963092
Calle San Sebastián,Santiago de Calatrava,-4.16602124658314,37.7539461596877
Calle Huertas,Hinojares,-2.99382599999996,37.715736
Calle Conde Mejorada,Baeza,-3.47366099898876,37.9955519999352
Calle Olivas,Villarrodrigo,-2.6353803278767,38.487555737394
Calle Real,Villarrodrigo,-2.63666251086604,38.4873357033801
Camino de Conejeras,Andújar,-3.9625928263037,38.0208847686543
Calle la Torre,Villarrodrigo,-2.63590800648203,38.4867287783324
Aldea las Fuentes,Benatae,-2.7037566145303,38.364741474868
Calle Nueva,Benatae,-2.65168200030021,38.3526829999023
Camino de Valtodano,Andújar,-4.01964074292583,38.0190815585673
Calle San Miguel de los Santos,Baeza,-3.47391896178961,37.9941351033073
Carretera A-321 de Arjona a Torredonjimeno,Arjona,-4.055819590632991,37.910364088268004
Calle Campanario,Baeza,-3.47241599982155,37.9944960005684
Calle Juan Manuel Gallardo,Aldeaquemada,-3.37230400042757,38.410505000332
Calle Miguel Hernández,Aldeaquemada,-3.37384000044437,38.411604000312
Calle Escalerillas (La Yedra),Baeza,-3.44775499831515,38.0307220944531
Aldea Cañada Morales,Hornos,-2.75604746792412,38.2129375577992
Carretera A-6200 de A-4 a Limite de Comunidad por Aldeaquemada,Santa Elena,-3.47994399999993,38.3889140000001
Camino Barranco Escopeta,Chilluévar,-3.0108439999999064,37.99406300000004
Plaza San Vicente,Hornos,-2.71917013403345,38.2174409600708
Calle Abades,Jaén,-3.7896200199477903,37.764820667440006
Barriada Buenavista,Espeluy,-3.86382100003893,38.0311360002264
Carretera A-312 de Linares a Beas de Segura,Santisteban del Puerto,-3.27462000011281,38.2201250001688
Calle Cura,Baeza,-3.47490800067251,37.98965399969
Parque del Lagartijo,Martos,-3.9692076979628,37.710272190499
Casería Mata Bejid,Cambil,-3.51489699999991,37.6916450000001
Camino del Toledillo,Andújar,-3.9978473851586,38.060936282011
Calle Constitución,Carboneros,-3.6316093016874,38.230206144454
Calle Carlos III,Carboneros,-3.63154300039018,38.2285510001934
Calle Barbacanas,Baeza,-3.46852400053216,37.9924300008644
Camino Cortijo Virgen de los Milagros,Mancha Real,-3.60929916099991,37.8532406200001
Calle Manuel Valdivia Ureña,Martos,-3.96725099973362,37.7131919998111
Calle Manuel Bueno Sánchez,Martos,-3.9660492502185,37.711980016739
Paraje Diseminado Lendínez,Torredonjimeno,-4.1219490553367,37.763997149209
Calle El Banquillo,Jaén,-3.7493635606563,37.784947262208
Calle los Recodos,Torres de Albánchez,-2.6764732238139,38.414817889486
Carretera Puerta de Arenas,Campillo de Arenas,-3.6016962245423,37.601801286922
Calle Agua,Martos,-3.96226006985436,37.7251533418651
Calle Aznaitín,Jaén,-3.7502520921787,37.780305924505
Calle Yabal,Jamilena,-3.91820000042946,37.7458460001928
,Cambil,-3.5650623503035,37.693637585516
Calle Espíritu Santo,Torres de Albánchez,-2.6754561338424,38.414719805462
Calle Mirador,Torres de Albánchez,-2.67761199999995,38.4147790000001
Calle Pilar Viejo,Cazalilla,-3.8829218915676,37.983277725192
Calle Quiñones,Chilluévar,-3.0342569999999114,37.99880100000007
Paraje Díaz Sánchez,Quesada,-3.0635319999999524,37.86019100000004
Paraje Brazo de San Lázaro,Quesada,-3.064777999999933,37.848160000000064
Calle San José de Calasanz,Cazalilla,-3.88115250799996,37.9850630120001
Calle Peñalta,Jaén,-3.7516990146163,37.783694675237
Calle África,Mancha Real,-3.60843561799987,37.7771761200001
Calle Doctor Pérez Negro,Santa Elena,-3.54063599999995,38.343465
Camino Viejo,Bailén,-3.74303581604986,38.1233335601958
Travesía García Lorca,Bailén,-3.7760409998920954,38.095688000301124
Aldea Los Cortijillos,Segura de la Sierra,-2.7169820376361,38.258763963967
Calle Ordenanzas del Común,Segura de la Sierra,-2.651685440757,38.2988742939012
Camino La Mesa,Alcalá La Real,-3.87806347424971,37.4315556421793
Camino Cortijo del Ciego (Santa Ana),Alcalá La Real,-3.87109181520397,37.4417027161225
Carretera A-316 de Úbeda a Carretera Granada-Córdoba,Martos,-4.03988629881348,37.6813511142626
Calle Manuel Pancorbo,Martos,-3.97996499968487,37.7216020000324
Calle Reyes Católicos,Villanueva de la Reina,-3.91431999956815,38.0047110002127
Carretera JA-3307 Las Casillas de Martos a Alcaudete,Alcaudete,-4.054991999687893,37.59934400007619
Calle Los Silos,Alcaudete,-4.09161699977199,37.5908590003047
Calle Carretas,Alcaudete,-4.09170100022972,37.5904840000885
Plaza Morrón,Alcaudete,-4.08406998936551,37.5879760003003
Calle Molinillos,Alcaudete,-4.09380900044632,37.591169999819
Paseo de la Galena,La Carolina,-3.611228999827,38.2807340001103
Calle Pintor Francisco Baños,Jaén,-3.78684612764653,37.7869080168916
Calle Empedrada,Castillo de Locubín,-3.94732700004085,37.5287099999667
Carretera EF A-6176 (1) Ramal de la N-IV a Estación de Mármolejo,Marmolejo,-4.16801053435847,38.021001285581
Camino Martín Gordo,Andújar,-3.97655522157809,38.0704723729681
Avenida de la Via Verde,Martos,-3.98079826003228,37.7190557097323
Calle Federico García Lorca (Alcalá la Real),Alcalá La Real,-3.92149300030156,37.4589249995893
Carretera JV-2264,Alcalá La Real,-3.877232999802901,37.528584999598166
Travesía Gran Capitán,Puente de Génave,-2.80275299999994,38.3575630000001
Calle el Puentecillo,Baeza,-3.44658221745755,38.029298815803
Camino Cueva Águila,Chiclana de Segura,-2.9442459999999073,38.34091200000006
Camino al Cortijo Moralejo Alto,Alcalá La Real,-3.8397281593904,37.390517053334
Paraje el Calderón,Chiclana de Segura,-3.05173699999995,38.289268
Calle Almaden,Torres,-3.5079071210732,37.786392109055
Paseo San Isidro,Torres,-3.50666699998194,37.7833419999334
Calle Cereza,Torres,-3.50727645,37.78606062
Calle Llana,Torres,-3.5103887192155,37.785460128207
Calle Cronista Gines Torres Navarrete,Sabiote,-3.31853399994394,38.0628899995742
Calle Muralla,Torres,-3.51104500042633,37.787630999871
Carretera JA-3107 Torres a Albánchez de Mágina,Torres,-3.5024385981834,37.778438189467
Calle Capitán Cortes,Sabiote,-3.3123750001059795,38.06796799992343
Calle Virgen del Carmen,Sabiote,-3.30806199996113,38.0684369999677
Calle Corregidor,Sabiote,-3.30676599955103,38.0690460001729
Calle Ramón y Cajal,Jódar,-3.35357712899992,37.8430814610001
Calle Iglesia (Ribera Baja),Alcalá La Real,-3.840641000381714,37.447231999957054
Calle Iglesia (Santa Ana),Alcalá La Real,-3.8852350000949745,37.46110500029569
Paseo de La Pedriza,Pegalajar,-3.6368902183714,37.746498599192
Calle López Navarrete,Beas de Segura,-2.88939999990989,38.2528310002506
Carretera de Vilches,Úbeda,-3.3709119997888,38.0224580002367
Camino Alto de Cuesta Zapata,Úbeda,-3.390236883772124,38.029073029445456
Camino de la Hoya del Negro,Úbeda,-3.378793836085273,38.04399282739503
Calle de los Cristaleros,Úbeda,-3.3683164662846137,38.02291505346009
Calle Paco Santa Cruz,Úbeda,-3.3840149996922846,38.01345100036366
Calle 3 de Julio,Úbeda,-3.3849812472595273,38.01203164514177
Calle Fuente de las Risas,Úbeda,-3.37501500014196,38.0071579997421
Calle de la Enfermería,Huesa,-3.07509899958107,37.7669830002679
Travesía Europa,Chilluévar,-3.03113603590127,38.0011630428411
Calle Berjaga,Puente de Génave,-2.80318899999992,38.3574050000001
Calle Nueva,Puente de Génave,-2.798200999999949,38.32344600000005
Avenida San Pedro Apostol,Mengíbar,-3.80380499999995,37.969569
Calle Cuesta del Cerro,Alcaudete,-4.08423787908853,37.5908502323804
Calle Casar,Arquillos,-3.41733100005534,38.2234230000428
Calle Simeón,Alcalá La Real,-3.954065999646014,37.41223600039125
Rambla de Santo Bastián,Orcera,-2.65755400031667,38.3193449999719
Calle García Lorca,Canena,-3.48249799968274,38.0487680003431
Calle Lonjuela,Canena,-3.480650999943548,38.046973000303865
Calle Gabriel y Zamora,Andújar,-4.05380600004666,38.0415270000712
Calle Granada,Chilluévar,-3.03001985599991,37.9887978470001
Travesía la Rambla,Orcera,-2.6597499252198,38.318996301292
Camino de Viñas,Jaén,-3.76706710136546,37.7944905670861
Calle Federico Parera,Castillo de Locubín,-3.9443320004213422,37.528709999966715
Calle Jimena,Jaén,-3.779114015699122,37.80321121922253
Aldea Río Madera,Segura de la Sierra,-2.6208980000074713,38.24515499971947
Calle Úbeda,Jaén,-3.7869330003575215,37.77542600001004
Calle Jamilena,Torredonjimeno,-3.9545989999999165,37.76300300000008
Arroyo la Yedra,Canena,-3.4781600001837516,38.04588699968545
Calle Violeta,Mengíbar,-3.801354999999944,37.972469000000046
Calle Velázquez,Quesada,-3.0638094609464,37.841099674546
Calle Sevilla,Lopera,-4.21919000141729,37.9490780004496
Callejón del Moro,Alcalá La Real,-3.928021000068979,37.463275999687866
Calle los Poyos,Peal de Becerro,-3.126981999939477,37.91517599999393
Pasaje José Ramón Menéndez,Andújar,-4.05793793,38.03865429
Plaza Nueva,Jódar,-3.3584209999999075,37.83700100000004
Calle San José,La Carolina,-3.6197983882009908,38.27023603942324
Calle B Ue4a,La Carolina,-3.6218080004907267,38.26685100007854
Calle Linares,Jaén,-3.7875079998941032,37.774358000221696
Carretera JV-7107,Quesada,-3.0156219999999507,37.86787900000007
Calle Estrecho,Úbeda,-3.3771470004335242,38.010352999591476
Calle Rubén Darío,Martos,-3.970632167340499,37.72643804767794
Calle Santos Reyes,Alcaudete,-4.07945999989154,37.59006300044628
Calle Menor,Martos,-3.96927651301061,37.720930418652
Calle D. Francisco Jiménez Doblado,Linares,-3.620448870918509,38.10478080359136
Calle Francisco Motoso,Castellar,-3.132830000404044,38.25268599985915
Calle Antonio Hernández,Martos,-4.11192956525797,37.7044537621536
Calle Sierra Mágina,Torredonjimeno,-3.946252999999956,37.763491000000045
Calle San Isidro Labrador,Peal de Becerro,-3.13468082885629,37.9078247624258
Calle Úbeda,Torredelcampo,-3.88802568070855,37.7809817470907
Calle Padilla,Úbeda,-3.3698181066548427,38.007382993209625
Calle Tomillo,Úbeda,-3.322347000413572,38.03220400001476
Callejón San Antón,Cazorla,-3.00154895831758,37.9131842616445
Calle Vista Pocicos,Baños de la Encina,-3.7308980000381315,38.3372930002793
Callejón San José,Linares,-3.628318455032471,38.097676077589085
Calle Puente de los Yerros,Cabra del Santo Cristo,-3.28911299997797,37.7091679999792
Calle Rosas,Andújar,-4.08719948796099,38.0334311996067
Calle Chartes,Jaén,-3.7918393686917966,37.764393235859416
Calle Antonio Maura,Torredonjimeno,-3.953260999999941,37.76348400000006
Pasaje las Infantas,Mengíbar,-3.8129019999999514,37.970394000000056
Calle Rodrigo de Triana,Andújar,-4.05181791944518,38.0464934110966
Calle Junquillo,Linares,-3.6317790004004213,38.1051729997343
Camino Perulera,Jaén,-3.787677999639868,37.80318500038766
Camino Privado de Canadillas Bajas,Santisteban del Puerto,-3.3204439998905397,38.26271900028179
Calle Francisco López Huertas,Jaén,-3.8012148702699164,37.78049893717633
Calle Federico García Lorca,Navas de San Juan,-3.319991999730855,38.183578000124754
Plaza Santa Catalina,Baeza,-3.470183465946193,37.989642671392374
Calle María González López y Manuel Beltrán Torres,Jaén,-3.782128464956429,37.77711281610374
Calle Mina Santa Margarita,Linares,-3.66003184,38.09227183
Calle Rafael Alberti,Martos,-3.97126354537613,37.7141375676947
Calle Pizarro,Villanueva del Arzobispo,-3.0065590001264186,38.17402400034179
Calle Guarromán por la Paz,Guarromán,-3.6817981540614024,38.18200309206922
Calle Holanda,Begíjar,-3.526967999999954,37.98514000000006
Calle Zacatín,Rus,-3.4607280007332073,38.04788800014469
Calle del Pilar,Rus,-3.4654999998241776,38.04749399990122
Calle P. Idustiral Cambron 14,La Guardia de Jaén,-3.7077690000391295,37.75341000007159
Camino Jv-3054,Torreblascopedro,-3.628989000341854,37.9894050003406
Calzada de la Virgen,Torreperogil,-3.27806999999996,38.0392330000001
Calle Llana (Bobadilla),Alcaudete,-4.107396000504871,37.65857899978591
Camino del Aljibe,Campillo de Arenas,-3.6334174189885,37.554815064713665
Calle Eras de Belén,Jaén,-3.785263999833603,37.77081300041988
Calle Virgen de la Cabeza,Martos,-3.965992886862052,37.714507148586236
Plaza la Verbenilla,Peal de Becerro,-3.12645099958022,37.9134840001726
Calle Rioja,Mancha Real,-3.6057369929999368,37.78334812000003
Travesía Mayor,Marmolejo,-4.205974999946136,38.00866399994379
Calle Guadalquivir,Quesada,-3.070383999999933,37.842658000000085
Calle Camino Canal del Sur,Pozo Alcón,-2.92986926799995,37.6900907190001
Travesía Zumbajarros,Jaén,-3.7979308843027297,37.77142213462412
Calle A. Cañada Arada 7,Arroyo del Ojanco,-2.853669259348275,38.309253981052386
